Gen/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
WindFarmAt1,36.279,23.411,37.078,22.128,25.712,35.221,34.596,25.652,31.291,29.258,33.587,30.437,43.642,50.484,53.262,50.88,64.233,36.682,49.949,28.62,41.064,25.944,44.319,20.549
WindFarmAt4,35.49,27.552,32.134,30.48,32.682,29.998,31.649,28.206,39.04,37.163,20.521,26.644,47.021,48.1,42.035,36.959,61.408,30.622,22.699,15.518,60.415,12.521,27.478,51.714
WindFarmAt5,33.371,27.74,30.709,26.869,28.706,38.563,25.113,27.043,29.487,31.273,42.285,39.634,40.866,51.616,39.021,24.284,61.048,35.427,24.967,48.239,7.406,18.523,39.767,36.327
WindFarmAt7,33.443,31.231,27.813,29.934,25.265,27.528,31.43,22.961,32.692,16.213,23.791,38.184,33.822,31.018,36.274,59.232,52.038,52.705,40.097,25.088,29.518,45.083,36.348,26.298
WindFarmAt8,28.944,23.703,32.092,29.711,34.475,22.18,20.712,32.603,31.679,41.201,26.25,21.001,52.544,50.979,41.647,39.45,36.506,38.341,30.422,49.167,32.239,35.455,34.725,27.905
WindFarmAt11,35.114,29.324,29.269,36.226,34.239,30.896,29.535,29.569,35.38,33.11,33.734,31.845,35.093,22.006,44.69,55.902,57.945,48.675,46.918,50.063,38.459,48.987,41.9,29.513
WindFarmAt12,27.529,30.002,27.495,21.455,24.413,31.848,32.036,30.766,44.377,28.111,21.94,34.203,34.966,48.916,48.515,36.211,55.712,34.615,74.34,30.486,27.474,20.243,48.93,34.62
WindFarmAt14,36.829,32.043,25.384,37.036,27.303,35.464,26.738,23.758,25.061,38.386,33.517,34.458,29.028,48.958,45.536,44.457,51.561,44.907,39.077,41.624,40.423,47.808,31.346,28.191
WindFarmAt15,38.816,28.589,24.864,37.322,26.739,30.56,24.719,33.415,26.063,27.89,37.839,37.291,33.63,67.949,43.312,32.779,52.039,37.316,15.433,11.562,38.611,13.167,35.901,36.582
WindFarmAt21,32.181,33.039,26.002,38.76,32.386,30.291,30.134,35.947,35.71,28.461,42.153,26.39,40.742,46.086,44.957,50.817,68.098,36.148,28.678,42.206,26.553,43.112,30.806,45.311
WindFarmAt25,37.072,34.005,23.106,25.591,23.223,23.891,35.88,39.148,38.864,30.693,14.009,35.294,49.313,35.663,57.79,38.486,31.58,36.92,30.874,45.318,14.674,31.396,25.837,26.934
WindFarmAt28,31.181,25.752,32.83,24.822,25.108,26.546,28.512,20.447,31.81,38.946,40.618,30.944,55.24,42.071,48.116,28.532,44.899,44.624,34.34,40.144,25.11,37.184,19.71,32.346
WindFarmAt31,29.907,30.027,35.088,28.102,25.358,32.869,34.019,22.153,38.399,36.939,26.5,48.071,47.645,29.29,38.867,36.126,63.016,48.865,47.289,34.667,40.971,35.172,24.715,26.756
WindFarmAt32,26.98,19.812,32.481,32.427,23.319,29.729,10.7,30.673,34.507,35.933,41.786,43.741,21.626,25.711,50.085,39.217,42.824,58.787,40.036,30.991,58.217,38.922,39.583,31.089
WindFarmAt70,24.992,31.765,29.901,28.612,19.347,26.397,30.542,25.929,20.389,31.005,34.361,42.754,37.294,28.384,46.714,45.171,42.386,50.519,39.709,25.537,30.347,46.984,25.517,26.897
WindFarmAt72,35.48,32.222,32.192,32.041,23.469,29.315,29.675,27.803,34.73,24.762,23.057,23.182,22.945,33.499,52.649,65.747,47.052,33.107,46.056,28.859,45.371,44.918,44.043,22.042
WindFarmAt74,28.481,22.057,21.055,31.46,26.861,33.982,24.661,24.339,29.2,32.801,41.666,20.991,35.664,29.465,34.493,33.212,54.447,38.505,41.983,38.519,46.663,55.949,37.623,23.446
WindFarmAt113,31.516,27.758,23.849,29.317,31.296,22.646,37.601,28.133,27.747,36.17,36.24,27.16,39.891,30.78,35.222,37.174,48.547,56.208,34.493,38.312,45.59,48.69,47.989,26.17
WindFarmAt114,33.777,26.748,21.939,33.807,30.665,32.828,22.1,32.273,31.603,29.352,48.7,46.671,33.45,25.558,45.001,44.369,67.473,42.989,30.109,35.002,20.394,48.799,40.662,54.807
WindFarmAt117,28.679,21.996,26.835,18.159,24.499,38.55,30.839,22.343,39.826,34.795,31.137,42.012,24.073,42.421,39.021,50.815,37.865,37.685,36.711,37.657,33.598,48.602,40.857,39.922
WindFarmAt37,28.357,32.103,32.42,29.424,30.142,17.853,31.041,30.403,32.128,31.902,21.955,25.111,32.572,34.697,40.736,46.789,40.483,46.608,42.061,35.06,35.446,29.265,47.956,28.957
WindFarmAt39,29.128,26.329,26.43,29.221,33.163,24.562,29.987,27.168,30.576,30.134,36.868,46.798,47.798,31.479,39.197,38.189,41.764,35.742,35.938,35.555,31.024,29.098,38.842,7.082
WindFarmAt43,28.815,28.926,29.248,28.299,36.085,32.108,25.605,31.027,30.287,25.565,27.472,43.769,28.072,42.939,34.267,50.543,54.758,31.409,18.89,33.189,31.385,47.425,22.139,38.108
WindFarmAt45,24.474,30.896,21.004,31.826,19.658,25.302,19.641,24.081,31.023,22.31,34.728,14.559,37.41,42.312,53.728,56.416,36.647,42.697,34.745,35.319,34.673,26.713,47.475,23.91
WindFarmAt49,29.173,18.435,19.02,33.929,28.078,35.862,23.624,28.399,28.514,30.919,20.257,43.01,34.656,54.921,44.556,22.798,40.759,18.999,33.075,27.346,35.242,8.587,34.444,38.716
WindFarmAt51,29.707,30.988,30.08,25.616,28.382,30.05,31.948,22.428,22.954,40.534,28.595,24.38,34.672,47.479,61.493,58.922,40.513,40.088,36.718,41.33,34.025,34.657,29.472,29.275
WindFarmAt57,32.795,28.59,28.01,22.45,24.816,29.893,31.853,38.622,31.05,24.719,37.042,29.611,18.168,57.952,54.651,51.428,68.234,45.411,48.298,29.094,42.378,30.577,31.393,25.748
WindFarmAt61,33.651,32.658,20.313,29.171,27.736,30.688,38.714,32.843,26.52,20.672,39.271,44.1,55.88,40.91,56.561,45.357,60.737,28.996,49.446,25.819,53.189,28.059,40.395,29.902
WindFarmAt63,34.559,34.218,28.97,21.256,36.461,31.866,29.421,23.6,34.523,29.141,33.498,33.502,48.018,34.435,44.27,60.073,48.309,53.603,43.95,35.887,28.41,35.703,36.876,39.834
WindFarmAt67,38.758,26.714,22.674,22.903,31.069,28.732,31.412,25.98,32.517,13.688,42.336,34.739,32.143,36.31,48.56,27.134,39.762,48.89,42.852,35.64,41.173,58.888,36.33,51.307
WindFarmAt76,31.676,30.441,24.099,33.409,34.363,37.23,25.582,32.855,21.792,25.234,35.735,43.24,34.051,41.065,27.851,31.088,57.502,26.293,16.292,15.667,34.595,34.379,45.81,16.457
WindFarmAt80,24.316,30.711,25.035,19.424,19.485,31.192,25.071,30.18,32.175,20.569,33.081,43.179,48.154,36.904,37.484,46.558,42.49,14.073,37.009,43.21,39.472,27.961,21.822,34.48
WindFarmAt97,37.126,25.717,28.418,30.989,29.618,29.156,25.5,31.55,40.508,29.11,27.118,44.111,28.073,52.288,37.143,46.095,45.502,29.588,36.563,49.098,27.917,47.258,25.287,23.937
WindFarmAt99,41.589,26.747,23.498,21.406,26.909,28.592,29.663,27.518,31.625,37.696,34.839,42.745,38.462,28.418,43.66,48.577,56.461,16.847,54.525,44.133,41.705,42.046,38.36,15.237
WindFarmAt82,25.84,28.369,25.296,23.909,31.064,39.071,31.891,30.633,27.09,38.364,31.868,40.189,33.692,33.75,47.07,50.035,30.134,65.702,55.036,31.686,26.823,23.543,47.865,30.483
WindFarmAt85,31.601,33.311,24.228,27.057,35.63,22.605,27.286,23.01,30.787,37.637,33.57,36.159,29.448,38.33,46.871,48.073,52.038,39.253,27.976,39.39,44.029,26.495,19.77,22.415
WindFarmAt91,27.272,21.224,29.629,30.503,22.476,29.704,25.668,22.471,28.49,31.336,20.034,36.161,43.25,52.297,31.05,52.087,41.234,44.121,44.475,37.544,32.767,27.734,43.819,36.202
WindFarmAt95,28.054,22.444,32.647,39.025,27.191,35.86,16.409,19.649,32.625,41.242,39.319,32.587,57.959,29.735,44.414,53.569,64.734,49.466,40.201,20.562,47.078,27.863,51.358,35.293
WindFarmAt101,29.646,38.383,25.539,20.261,36.472,33.522,35.013,26.028,38.713,25.546,38.539,47.194,43.035,22.627,26.863,32.227,41.894,41.307,42.797,35.153,39.053,23.803,27.581,28.492
WindFarmAt111,34.989,37.756,32.219,30.049,26.212,33.236,33.049,24.289,26.021,30.372,50.587,33.836,29.3,23.608,31.592,44.566,43.053,51.296,26.487,29.702,55.208,34.725,40.887,40.174
SolarFarmAt9,0.0,0.0,0.0,0.0,0.0,7.283,27.966,63.029,90.603,57.704,68.927,84.729,97.295,77.712,81.649,71.391,49.741,15.108,0.537,0.0,0.0,0.0,0.0,0.0
SolarFarmAt16,0.0,0.0,0.0,0.0,0.0,7.487,40.551,71.345,70.93,91.893,74.361,83.946,80.745,97.773,82.583,89.755,37.779,18.48,0.539,0.0,0.0,0.0,0.0,0.0
SolarFarmAt29,0.0,0.0,0.0,0.0,0.0,6.884,37.525,68.035,87.836,92.893,88.494,89.326,81.455,78.225,91.38,50.896,35.932,16.365,0.742,0.0,0.0,0.0,0.0,0.0
SolarFarmAt73,0.0,0.0,0.0,0.0,0.0,6.123,32.693,64.391,82.224,83.708,95.395,121.696,86.2,92.617,101.842,71.539,43.317,12.891,0.558,0.0,0.0,0.0,0.0,0.0
SolarFarmAt36,0.0,0.0,0.0,0.0,0.0,8.144,27.669,67.367,100.615,76.479,82.748,87.29,85.218,69.816,96.305,74.063,41.185,14.763,0.663,0.0,0.0,0.0,0.0,0.0
SolarFarmAt38,0.0,0.0,0.0,0.0,0.0,7.165,31.336,60.988,100.7,94.251,96.506,85.857,83.258,105.204,85.818,82.238,43.444,15.704,0.503,0.0,0.0,0.0,0.0,0.0
SolarFarmAt40,0.0,0.0,0.0,0.0,0.0,6.415,30.788,74.939,78.009,77.762,90.038,94.055,104.726,97.671,90.155,89.896,36.344,18.864,0.638,0.0,0.0,0.0,0.0,0.0
SolarFarmAt42,0.0,0.0,0.0,0.0,0.0,6.831,28.193,56.716,88.15,107.488,101.027,118.256,78.971,88.859,86.84,70.263,46.683,14.933,0.619,0.0,0.0,0.0,0.0,0.0
SolarFarmAt46,0.0,0.0,0.0,0.0,0.0,6.186,29.596,78.796,86.243,96.286,112.468,95.522,101.163,77.489,88.313,78.186,45.238,14.389,0.538,0.0,0.0,0.0,0.0,0.0
