Gen/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
WindFarmAt1,23.596,29.011,33.23,27.361,28.726,31.025,12.313,35.558,24.954,26.026,53.623,38.342,44.863,42.409,41.026,44.309,69.267,17.398,23.542,46.944,36.112,35.9,44.475,7.448
WindFarmAt4,35.106,32.101,34.141,28.251,30.535,29.657,29.93,30.403,22.774,23.936,36.682,27.36,39.989,43.957,48.693,58.685,49.18,45.465,33.747,38.351,41.688,18.342,31.373,30.932
WindFarmAt5,30.252,31.787,27.68,34.055,26.879,25.62,32.681,46.392,40.97,37.004,26.793,34.462,39.012,48.044,30.466,57.939,58.548,36.59,52.055,31.237,17.813,30.639,40.816,34.547
WindFarmAt7,34.573,32.602,33.829,23.908,23.79,23.447,16.45,42.16,14.432,25.217,27.975,52.706,33.199,40.813,25.41,38.182,57.49,53.986,30.134,39.639,20.792,39.546,26.047,14.144
WindFarmAt8,26.376,23.258,19.005,24.851,31.321,25.421,29.054,33.425,18.511,40.183,31.607,33.51,54.075,51.839,34.114,32.6,58.83,32.476,36.898,34.71,37.331,42.233,39.918,65.525
WindFarmAt11,22.026,28.305,27.108,34.451,26.218,18.078,36.702,29.365,35.925,40.832,17.154,38.064,52.945,33.393,37.943,34.015,38.058,27.929,43.508,53.44,23.932,32.583,28.739,24.673
WindFarmAt12,25.838,28.126,23.519,25.765,36.773,30.024,26.939,30.446,38.781,22.08,34.38,39.216,43.717,55.758,37.262,38.613,29.948,44.544,45.261,34.685,48.487,27.068,35.432,22.525
WindFarmAt14,32.739,27.623,25.28,40.825,31.011,34.772,23.752,26.822,37.511,28.767,22.702,42.606,34.197,28.509,44.868,28.582,38.626,27.066,27.411,25.327,38.525,28.821,40.41,38.744
WindFarmAt15,30.614,35.605,24.734,25.086,35.268,29.426,26.579,37.266,23.075,31.357,39.403,25.507,35.504,51.273,38.26,53.314,35.37,38.714,13.419,34.525,49.03,29.006,31.849,14.405
WindFarmAt21,28.163,32.813,28.678,33.032,28.759,24.454,34.43,20.299,21.6,32.482,28.922,30.522,34.139,43.715,56.442,25.686,50.418,28.091,37.928,32.467,31.43,53.256,44.556,3.305
WindFarmAt25,29.792,32.303,30.624,31.566,23.588,31.802,30.701,40.577,28.566,35.409,29.635,34.126,28.884,34.257,46.326,54.423,37.262,58.876,16.728,35.491,40.587,32.9,13.502,33.314
WindFarmAt28,29.429,30.501,31.575,25.602,33.141,29.557,36.261,17.72,24.676,40.129,30.142,27.784,49.66,31.091,49.265,43.657,50.809,45.303,44.76,41.255,38.054,41.376,23.163,23.043
