Gen/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
WindFarmAt1,33.814,22.304,24.279,33.86,29.885,22.574,21.846,25.885,38.19,27.661,47.998,32.668,18.785,38.255,43.529,59.801,44.191,46.866,42.794,24.915,44.499,42.315,26.367,52.815
WindFarmAt4,41.618,28.492,32.741,30.384,31.961,33.663,33.213,27.14,30.73,15.376,31.008,44.566,39.435,48.739,45.57,31.525,53.034,62.889,43.156,51.523,39.718,34.769,25.554,16.107
WindFarmAt5,27.308,33.692,16.668,27.807,27.973,34.957,43.7,28.438,20.874,18.521,44.025,33.002,39.639,12.849,41.229,28.587,46.614,45.469,37.2,23.254,40.503,15.717,17.086,33.043
WindFarmAt7,30.832,33.33,31.029,29.084,24.449,31.251,33.047,25.251,32.918,24.172,42.198,20.539,46.813,33.127,38.608,50.614,49.454,48.741,34.022,41.477,44.973,33.687,15.346,28.894
WindFarmAt8,27.613,38.945,30.684,25.731,17.673,33.712,20.741,41.023,34.972,34.797,49.566,15.101,43.792,46.769,50.639,26.765,40.25,40.76,30.513,34.85,18.951,29.114,36.323,45.183
WindFarmAt11,26.031,36.531,23.532,26.543,17.749,25.745,33.284,20.675,38.711,29.981,34.297,28.981,33.917,42.666,47.054,40.274,42.553,34.368,45.946,40.223,29.595,11.834,26.56,39.167
WindFarmAt12,29.062,29.952,30.289,25.169,21.436,22.478,27.679,28.252,21.061,30.825,24.568,53.69,49.761,25.381,49.061,29.976,51.145,51.899,25.098,48.513,24.811,34.316,10.854,35.297
WindFarmAt14,32.183,40.172,26.539,33.965,27.897,28.726,28.26,21.539,30.375,27.068,30.194,53.998,35.616,54.811,45.917,53.037,50.688,56.112,48.495,35.188,28.467,24.452,49.743,39.581
WindFarmAt15,33.176,29.162,25.382,25.888,26.314,22.277,17.256,26.169,36.762,38.266,13.979,33.139,32.155,45.366,51.676,60.844,43.498,24.739,50.901,27.466,15.883,41.444,33.86,37.138
WindFarmAt21,33.869,27.639,24.458,24.516,25.945,25.723,23.857,25.693,25.097,42.674,40.486,32.475,29.57,28.521,36.88,38.561,54.04,32.012,32.422,22.681,30.938,43.414,19.296,33.54
WindFarmAt25,24.322,27.323,30.047,27.329,24.656,35.051,26.814,28.789,25.399,22.601,28.505,44.419,26.059,40.081,52.728,38.093,32.603,65.964,25.127,37.678,19.206,39.769,34.251,32.644
WindFarmAt28,27.651,30.111,30.218,27.626,31.212,21.228,24.115,23.491,46.752,40.126,33.122,50.186,43.001,47.674,33.7,66.347,65.725,55.178,42.249,20.432,45.97,44.993,24.635,29.22
WindFarmAt31,30.787,32.759,31.341,28.417,24.247,26.969,35.468,36.277,38.095,25.657,28.528,47.825,40.938,29.708,44.072,34.953,48.526,36.94,27.186,38.249,48.573,33.488,39.453,18.631
WindFarmAt32,26.199,29.29,34.92,25.814,29.759,27.619,39.16,28.397,34.621,42.291,40.182,40.684,44.313,36.673,61.172,27.234,41.745,57.522,30.074,46.786,55.055,19.89,21.152,34.474
WindFarmAt70,34.012,26.376,27.684,22.858,19.029,32.615,22.284,28.357,30.395,29.69,36.031,28.532,23.431,57.558,37.44,25.858,56.213,61.402,47.387,35.56,42.999,42.089,51.899,46.87
WindFarmAt72,34.703,39.846,32.124,22.838,32.187,24.452,39.258,26.599,31.308,27.169,35.087,33.495,41.379,45.963,43.968,58.968,46.352,33.347,39.441,22.327,28.066,33.805,37.561,38.744
WindFarmAt74,38.016,27.35,29.428,25.195,23.255,26.771,26.397,30.195,34.865,21.31,42.139,39.4,30.223,45.459,19.966,33.953,57.703,48.253,47.954,40.061,15.785,31.363,24.624,49.9
WindFarmAt113,32.32,28.676,28.94,28.665,22.322,26.123,38.281,43.221,21.727,30.796,41.778,28.925,52.979,34.431,30.457,33.036,35.053,57.865,39.025,36.027,23.372,33.322,31.104,34.727
WindFarmAt114,37.349,22.175,23.283,31.072,34.649,33.28,29.173,37.131,30.542,28.791,22.875,42.242,39.089,41.397,15.676,36.563,41.995,46.043,41.537,18.954,42.779,48.982,42.649,24.88
WindFarmAt117,34.102,29.013,18.822,31.187,25.778,37.288,27.982,37.917,36.845,33.088,37.278,37.325,35.456,48.711,44.503,51.059,46.999,51.228,42.937,33.862,43.303,29.28,31.37,25.181
WindFarmAt37,27.398,38.748,31.213,26.778,34.99,23.147,34.422,43.986,30.806,40.769,40.733,34.682,39.91,44.02,52.449,34.842,39.395,47.298,43.0,26.899,38.026,22.279,42.064,40.682
