Gen/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
WindFarmAt1,21.768,32.86,30.857,30.0,32.739,25.642,23.208,27.309,38.559,32.611,44.742,17.347,45.819,47.321,38.832,43.426,54.107,30.796,42.782,38.321,26.852,35.38,38.964,43.282
WindFarmAt4,31.584,31.301,25.026,26.946,34.045,28.325,22.2,29.971,28.583,28.842,25.775,29.973,23.545,40.812,33.32,28.073,51.688,50.296,44.598,36.757,38.94,32.775,33.577,31.044
WindFarmAt5,25.341,29.884,25.531,31.811,33.221,38.613,31.218,27.977,29.072,24.935,22.477,46.029,36.73,26.972,55.827,25.888,27.164,29.945,35.512,48.846,12.049,43.796,30.67,35.528
WindFarmAt7,40.104,28.959,36.462,23.766,36.448,20.976,36.66,38.553,30.697,40.519,38.492,28.355,36.214,32.829,46.271,34.631,52.684,54.347,37.448,26.924,45.459,18.881,38.981,34.341
WindFarmAt8,34.316,18.336,29.408,30.239,34.016,37.209,22.378,30.694,26.075,34.289,40.735,42.324,26.727,22.287,52.796,40.166,39.402,40.155,52.987,27.585,41.331,40.228,29.002,17.161
WindFarmAt11,27.741,30.204,34.615,24.834,36.484,29.586,22.786,34.153,42.327,31.235,38.996,30.644,47.776,33.969,36.494,55.945,51.178,34.485,44.201,21.428,42.486,18.287,46.652,40.967
WindFarmAt12,34.479,22.749,26.879,22.412,31.746,35.262,29.091,24.663,22.957,37.703,41.968,39.088,22.586,45.55,43.824,48.216,46.355,44.694,30.776,44.074,9.571,49.856,26.651,24.607
WindFarmAt14,32.4,33.671,28.739,28.666,34.702,29.34,26.34,27.527,22.558,38.463,22.262,41.427,46.483,33.608,40.601,40.603,70.661,37.281,46.012,25.614,43.602,24.157,38.148,36.633
WindFarmAt15,39.808,28.041,31.249,31.222,24.513,20.17,24.424,30.057,29.789,33.041,32.361,40.295,31.145,45.849,48.017,37.926,55.04,48.794,48.295,38.06,49.151,61.918,46.946,22.39
WindFarmAt21,34.629,22.047,23.932,33.512,24.623,20.517,27.23,26.132,34.523,57.417,24.093,34.167,35.178,34.958,48.587,25.494,41.143,61.554,36.828,39.208,28.947,43.444,29.244,23.828
WindFarmAt25,23.239,17.761,33.73,28.179,18.191,31.708,33.914,30.351,38.833,30.338,17.997,46.562,40.715,50.396,40.086,38.031,15.013,33.297,41.296,37.408,31.467,4.831,46.702,43.267
WindFarmAt28,28.043,28.934,27.423,34.569,41.054,24.193,26.064,28.51,22.93,43.685,30.685,49.48,37.891,23.334,51.168,22.087,44.382,50.82,45.47,46.661,23.424,30.419,26.214,31.73
WindFarmAt31,27.306,32.147,30.965,28.285,21.201,33.223,37.777,29.268,30.927,18.99,27.896,32.07,33.739,45.208,67.054,36.113,36.231,48.927,44.478,46.396,60.12,16.179,31.784,35.237
WindFarmAt32,34.033,15.894,36.487,34.763,24.205,36.235,33.994,32.733,29.437,23.177,28.487,21.516,43.57,52.119,34.67,54.719,56.351,50.177,52.646,49.012,39.99,20.596,30.192,49.505
WindFarmAt70,26.542,29.359,24.538,27.302,26.439,36.579,26.576,20.549,26.66,36.431,35.254,37.852,55.013,47.632,42.975,65.001,50.163,23.42,18.555,31.589,28.815,45.969,33.292,28.908
WindFarmAt72,29.914,30.668,25.879,27.147,27.571,21.131,20.28,15.478,35.424,37.567,25.992,30.397,48.922,30.296,40.824,36.471,35.132,45.024,64.822,41.709,61.408,24.709,30.787,26.509
WindFarmAt74,33.133,21.438,24.793,25.108,28.286,29.279,25.613,24.009,30.19,40.962,39.12,48.473,39.923,45.547,49.306,23.863,51.942,66.899,35.774,34.854,27.216,35.721,32.004,41.199
WindFarmAt113,25.961,31.621,33.799,27.49,25.821,26.98,23.281,29.283,29.819,16.253,41.034,42.803,59.727,37.059,27.453,43.946,73.187,45.175,28.36,50.6,28.56,29.933,35.843,40.052
WindFarmAt114,30.627,26.644,23.763,31.334,29.754,36.594,27.635,30.378,30.966,34.701,21.464,35.262,38.326,40.837,53.728,43.564,60.929,33.173,45.263,27.91,38.965,37.41,27.253,38.028
WindFarmAt117,30.459,29.864,33.119,25.306,16.82,29.859,28.697,22.859,27.119,21.801,27.831,39.173,36.892,38.32,60.284,52.39,37.765,49.326,38.66,34.862,26.046,29.382,23.259,26.158
WindFarmAt37,32.928,24.726,16.28,28.097,32.542,22.756,32.408,38.137,29.044,27.973,26.084,49.878,31.996,30.743,47.842,35.38,33.34,46.668,35.669,35.476,23.031,43.637,45.433,29.984
WindFarmAt39,24.097,28.949,25.288,35.851,25.398,32.33,29.941,26.096,20.047,22.145,37.057,36.788,36.735,37.204,57.994,40.593,33.888,62.925,37.27,42.926,41.006,27.677,52.915,29.39
WindFarmAt43,32.977,32.357,33.256,38.18,33.434,19.442,28.36,24.782,38.736,36.095,35.913,24.971,35.48,46.179,36.305,54.27,53.537,10.771,47.754,18.493,20.635,17.566,36.528,15.001
WindFarmAt45,36.617,31.974,27.803,21.929,33.857,30.12,28.818,30.523,25.745,33.573,38.086,35.497,43.496,35.451,44.535,49.771,33.133,49.458,47.653,42.537,51.533,37.331,41.686,18.796
WindFarmAt49,33.448,25.544,27.347,33.723,33.779,25.425,31.605,20.407,25.624,39.061,31.136,26.099,52.085,31.482,32.931,37.358,51.212,31.609,42.145,25.41,19.691,23.088,34.66,24.236
WindFarmAt51,28.833,34.495,22.137,32.636,30.107,26.343,27.151,36.149,32.365,43.263,34.786,28.815,35.344,37.803,41.223,28.876,39.658,50.299,50.579,35.954,17.706,14.398,14.089,45.338
WindFarmAt57,31.839,27.529,26.213,23.305,35.037,32.353,33.645,21.308,29.019,39.393,32.076,34.031,34.758,35.417,43.973,60.089,40.037,63.693,37.674,49.449,31.242,32.228,23.188,40.996
WindFarmAt61,29.878,26.767,32.465,34.667,33.098,25.878,33.107,32.326,29.982,27.152,40.645,20.926,32.823,57.906,36.654,63.332,51.151,50.727,35.735,56.611,56.474,20.606,32.142,8.58
WindFarmAt63,37.505,33.905,18.601,33.35,28.234,25.0,35.021,35.028,25.754,32.033,29.706,35.801,47.021,37.515,37.395,34.806,27.011,51.881,20.433,52.82,15.006,41.809,34.519,31.597
WindFarmAt67,30.086,25.853,28.873,31.698,24.332,37.34,19.313,29.474,40.945,26.578,35.555,49.975,51.455,19.486,26.503,36.86,40.832,34.706,25.624,22.126,30.241,57.454,20.175,36.607
WindFarmAt76,29.7,27.106,33.586,35.927,21.66,31.485,18.891,25.689,18.523,29.948,32.251,39.164,30.789,35.142,50.368,42.042,38.178,38.348,24.899,29.071,22.029,34.392,33.828,35.363
WindFarmAt80,29.051,34.428,36.414,29.71,27.212,27.789,29.552,33.152,23.827,39.205,39.089,15.542,42.913,29.83,38.647,59.811,47.245,49.75,44.456,23.647,27.88,40.827,35.738,24.694
WindFarmAt97,35.009,22.767,29.266,31.046,28.874,29.874,35.255,23.62,34.407,30.047,37.605,33.606,32.924,37.581,46.972,54.175,48.514,30.006,38.354,30.559,35.631,49.818,29.308,32.025
WindFarmAt99,32.05,29.591,36.432,32.97,24.74,17.376,28.114,28.006,30.636,40.546,28.763,25.46,39.774,39.776,44.105,51.053,59.247,23.51,51.888,26.797,33.427,43.638,39.524,49.012
WindFarmAt82,21.303,26.041,32.229,28.143,27.863,24.958,30.269,17.163,31.627,32.333,43.386,28.371,36.666,39.486,18.109,51.076,56.505,28.584,26.225,32.517,48.785,28.774,14.343,19.357
WindFarmAt85,31.194,25.339,34.951,22.208,33.495,12.996,31.808,34.664,23.882,26.644,49.862,35.864,45.996,39.076,42.672,55.262,43.05,51.09,52.769,18.187,12.378,39.428,61.322,36.121
