Bus/Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,66.30000000000001,62.51142857142857,54.93428571428573,49.251428571428555,47.357142857142875,56.82857142857143,66.30000000000001,73.87714285714284,77.66571428571426,83.34857142857142,84.2957142857143,79.56000000000003,75.77142857142854,71.98285714285716,83.34857142857142,85.24285714285715,80.50714285714285,84.2957142857143,89.03142857142858,92.82000000000001,94.71428571428575,85.24285714285715,82.40142857142855,77.66571428571426
2,26.0,24.514285714285712,21.542857142857148,19.31428571428571,18.571428571428577,22.285714285714285,26.0,28.971428571428564,30.45714285714284,32.68571428571428,33.05714285714286,31.20000000000001,29.7142857142857,28.22857142857143,32.68571428571428,33.42857142857143,31.571428571428566,33.05714285714286,34.91428571428572,36.4,37.14285714285715,33.42857142857143,32.31428571428571,30.45714285714284
3,50.699999999999996,47.802857142857135,42.00857142857143,37.66285714285713,36.21428571428572,43.45714285714285,50.699999999999996,56.494285714285695,59.391428571428534,63.73714285714284,64.46142857142857,60.84000000000001,57.94285714285711,55.04571428571428,63.73714285714284,65.18571428571427,61.564285714285695,64.46142857142857,68.08285714285714,70.97999999999999,72.42857142857144,65.18571428571427,63.01285714285712,59.391428571428534
4,50.699999999999996,47.802857142857135,42.00857142857143,37.66285714285713,36.21428571428572,43.45714285714285,50.699999999999996,56.494285714285695,59.391428571428534,63.73714285714284,64.46142857142857,60.84000000000001,57.94285714285711,55.04571428571428,63.73714285714284,65.18571428571427,61.564285714285695,64.46142857142857,68.08285714285714,70.97999999999999,72.42857142857144,65.18571428571427,63.01285714285712,59.391428571428534
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,67.6,63.73714285714285,56.01142857142858,50.21714285714284,48.2857142857143,57.94285714285714,67.6,75.32571428571427,79.1885714285714,84.98285714285713,85.94857142857143,81.12000000000002,77.25714285714282,73.39428571428572,84.98285714285713,86.91428571428571,82.08571428571427,85.94857142857143,90.77714285714286,94.64,96.5714285714286,86.91428571428571,84.01714285714284,79.1885714285714
7,24.7,23.288571428571426,20.465714285714288,18.34857142857142,17.64285714285715,21.17142857142857,24.7,27.522857142857138,28.9342857142857,31.051428571428566,31.404285714285713,29.640000000000008,28.228571428571414,26.81714285714286,31.051428571428566,31.757142857142856,29.992857142857137,31.404285714285713,33.16857142857143,34.58,35.2857142857143,31.757142857142856,30.698571428571423,28.9342857142857
8,36.4,34.32,30.160000000000007,27.039999999999992,26.00000000000001,31.2,36.4,40.559999999999995,42.63999999999998,45.76,46.28,43.680000000000014,41.59999999999998,39.52,45.76,46.8,44.199999999999996,46.28,48.88,50.96,52.00000000000002,46.8,45.239999999999995,42.63999999999998
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,91.0,85.8,75.40000000000002,67.59999999999998,65.00000000000003,78.0,91.0,101.39999999999998,106.59999999999995,114.39999999999999,115.7,109.20000000000003,103.99999999999996,98.80000000000001,114.39999999999999,117.0,110.49999999999999,115.7,122.2,127.4,130.00000000000006,117.0,113.09999999999998,106.59999999999995
12,61.1,57.60857142857142,50.625714285714295,45.38857142857142,43.64285714285716,52.37142857142857,61.1,68.08285714285714,71.57428571428568,76.81142857142856,77.68428571428572,73.32000000000002,69.8285714285714,66.33714285714287,76.81142857142856,78.55714285714285,74.19285714285714,77.68428571428572,82.04857142857144,85.54,87.28571428571432,78.55714285714285,75.93857142857142,71.57428571428568
13,44.2,41.67428571428571,36.62285714285715,32.834285714285706,31.57142857142858,37.885714285714286,44.2,49.25142857142856,51.777142857142834,55.56571428571428,56.19714285714286,53.04000000000001,50.51428571428569,47.98857142857143,55.56571428571428,56.82857142857143,53.671428571428564,56.19714285714286,59.354285714285716,61.88,63.14285714285716,56.82857142857143,54.93428571428571,51.777142857142834
14,18.2,17.16,15.080000000000004,13.519999999999996,13.000000000000005,15.6,18.2,20.279999999999998,21.31999999999999,22.88,23.14,21.840000000000007,20.79999999999999,19.76,22.88,23.4,22.099999999999998,23.14,24.44,25.48,26.00000000000001,23.4,22.619999999999997,21.31999999999999
15,117.0,110.3142857142857,96.94285714285715,86.91428571428568,83.5714285714286,100.28571428571428,117.0,130.37142857142854,137.0571428571428,147.08571428571426,148.75714285714287,140.40000000000003,133.71428571428564,127.02857142857144,147.08571428571426,150.42857142857142,142.07142857142856,148.75714285714287,157.11428571428573,163.8,167.1428571428572,150.42857142857142,145.41428571428568,137.0571428571428
16,32.5,30.64285714285714,26.92857142857143,24.142857142857135,23.214285714285722,27.857142857142854,32.5,36.21428571428571,38.071428571428555,40.85714285714285,41.32142857142857,39.00000000000001,37.142857142857125,35.285714285714285,40.85714285714285,41.785714285714285,39.46428571428571,41.32142857142857,43.642857142857146,45.5,46.428571428571445,41.785714285714285,40.39285714285713,38.071428571428555
17,14.3,13.482857142857142,11.84857142857143,10.62285714285714,10.214285714285719,12.257142857142858,14.3,15.934285714285712,16.751428571428566,17.977142857142855,18.181428571428572,17.160000000000007,16.342857142857135,15.525714285714288,17.977142857142855,18.385714285714286,17.364285714285714,18.181428571428572,19.202857142857145,20.020000000000003,20.428571428571438,18.385714285714286,17.77285714285714,16.751428571428566
18,78.0,73.54285714285713,64.62857142857143,57.94285714285712,55.71428571428573,66.85714285714285,78.0,86.9142857142857,91.37142857142852,98.05714285714284,99.17142857142856,93.60000000000002,89.1428571428571,84.68571428571428,98.05714285714284,100.28571428571428,94.7142857142857,99.17142857142856,104.74285714285715,109.19999999999999,111.42857142857146,100.28571428571428,96.94285714285712,91.37142857142852
19,58.5,55.15714285714285,48.471428571428575,43.45714285714284,41.7857142857143,50.14285714285714,58.5,65.18571428571427,68.5285714285714,73.54285714285713,74.37857142857143,70.20000000000002,66.85714285714282,63.51428571428572,73.54285714285713,75.21428571428571,71.03571428571428,74.37857142857143,78.55714285714286,81.9,83.5714285714286,75.21428571428571,72.70714285714284,68.5285714285714
20,23.4,22.06285714285714,19.38857142857143,17.382857142857137,16.71428571428572,20.057142857142853,23.4,26.074285714285708,27.411428571428555,29.417142857142853,29.75142857142857,28.080000000000005,26.74285714285713,25.405714285714286,29.417142857142853,30.085714285714282,28.414285714285707,29.75142857142857,31.422857142857143,32.76,33.42857142857144,30.085714285714282,29.082857142857137,27.411428571428555
21,18.2,17.16,15.080000000000004,13.519999999999996,13.000000000000005,15.6,18.2,20.279999999999998,21.31999999999999,22.88,23.14,21.840000000000007,20.79999999999999,19.76,22.88,23.4,22.099999999999998,23.14,24.44,25.48,26.00000000000001,23.4,22.619999999999997,21.31999999999999
22,13.0,12.257142857142856,10.771428571428574,9.657142857142855,9.285714285714288,11.142857142857142,13.0,14.485714285714282,15.22857142857142,16.34285714285714,16.52857142857143,15.600000000000005,14.85714285714285,14.114285714285716,16.34285714285714,16.714285714285715,15.785714285714283,16.52857142857143,17.45714285714286,18.2,18.571428571428577,16.714285714285715,16.157142857142855,15.22857142857142
23,9.1,8.58,7.540000000000002,6.759999999999998,6.500000000000003,7.8,9.1,10.139999999999999,10.659999999999995,11.44,11.57,10.920000000000003,10.399999999999995,9.88,11.44,11.7,11.049999999999999,11.57,12.22,12.74,13.000000000000005,11.7,11.309999999999999,10.659999999999995
24,16.9,15.934285714285712,14.002857142857145,12.55428571428571,12.071428571428575,14.485714285714286,16.9,18.831428571428567,19.79714285714285,21.245714285714282,21.487142857142857,20.280000000000005,19.314285714285706,18.34857142857143,21.245714285714282,21.728571428571428,20.52142857142857,21.487142857142857,22.694285714285716,23.66,24.14285714285715,21.728571428571428,21.00428571428571,19.79714285714285
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,92.3,87.02571428571427,76.47714285714287,68.56571428571426,65.92857142857144,79.11428571428571,92.3,102.8485714285714,108.12285714285709,116.0342857142857,117.35285714285715,110.76000000000003,105.48571428571424,100.21142857142858,116.0342857142857,118.67142857142856,112.07857142857141,117.35285714285715,123.94571428571429,129.22,131.8571428571429,118.67142857142856,114.71571428571426,108.12285714285709
28,22.1,20.837142857142855,18.311428571428575,16.417142857142853,15.78571428571429,18.942857142857143,22.1,24.62571428571428,25.888571428571417,27.78285714285714,28.09857142857143,26.520000000000007,25.257142857142846,23.994285714285716,27.78285714285714,28.414285714285715,26.835714285714282,28.09857142857143,29.677142857142858,30.94,31.57142857142858,28.414285714285715,27.467142857142854,25.888571428571417
29,31.2,29.417142857142853,25.851428571428574,23.177142857142847,22.285714285714292,26.74285714285714,31.2,34.765714285714274,36.54857142857141,39.22285714285714,39.668571428571425,37.440000000000005,35.65714285714284,33.87428571428571,39.22285714285714,40.11428571428571,37.88571428571428,39.668571428571425,41.89714285714285,43.68,44.571428571428584,40.11428571428571,38.77714285714285,36.54857142857141
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,55.9,52.70571428571428,46.31714285714286,41.52571428571427,39.92857142857144,47.91428571428571,55.9,62.288571428571416,65.48285714285711,70.2742857142857,71.07285714285715,67.08000000000001,63.88571428571425,60.691428571428574,70.2742857142857,71.87142857142857,67.87857142857142,71.07285714285715,75.06571428571428,78.25999999999999,79.85714285714288,71.87142857142857,69.47571428571428,65.48285714285711
32,76.7,72.31714285714285,63.55142857142858,56.97714285714284,54.7857142857143,65.74285714285713,76.7,85.46571428571427,89.84857142857139,96.42285714285713,97.51857142857143,92.04000000000002,87.65714285714282,83.27428571428572,96.42285714285713,98.61428571428571,93.13571428571427,97.51857142857143,102.99714285714286,107.38,109.5714285714286,98.61428571428571,95.32714285714283,89.84857142857139
33,29.9,28.191428571428567,24.774285714285714,22.211428571428563,21.35714285714286,25.62857142857143,29.9,33.317142857142855,35.02571428571427,37.58857142857142,38.01571428571428,35.88,34.17142857142856,32.46285714285714,37.58857142857142,38.442857142857136,36.30714285714284,38.01571428571428,40.151428571428575,41.85999999999999,42.71428571428572,38.442857142857136,37.16142857142856,35.02571428571427
34,76.7,72.31714285714285,63.55142857142857,56.97714285714284,54.7857142857143,65.74285714285715,76.7,85.46571428571428,89.84857142857139,96.42285714285713,97.51857142857143,92.04000000000002,87.65714285714283,83.27428571428572,96.42285714285713,98.61428571428571,93.13571428571426,97.51857142857143,102.99714285714288,107.38,109.5714285714286,98.61428571428571,95.32714285714283,89.84857142857139
35,42.9,40.44857142857143,35.54571428571429,31.868571428571418,30.64285714285715,36.77142857142858,42.9,47.80285714285714,50.25428571428569,53.93142857142856,54.544285714285714,51.48000000000001,49.02857142857141,46.57714285714286,53.93142857142856,55.15714285714285,52.09285714285713,54.544285714285714,57.60857142857144,60.059999999999995,61.2857142857143,55.15714285714285,53.31857142857142,50.25428571428569
36,40.300000000000004,37.997142857142855,33.39142857142858,29.937142857142845,28.785714285714292,34.542857142857144,40.300000000000004,44.90571428571428,47.20857142857141,50.66285714285713,51.23857142857143,48.36000000000001,46.05714285714284,43.754285714285714,50.66285714285713,51.81428571428571,48.93571428571427,51.23857142857143,54.117142857142866,56.419999999999995,57.571428571428584,51.81428571428571,50.087142857142844,47.20857142857141
